Seleção 1,Placar 1,Placar 2,Seleção 2,Vencedor,Saldo de Gols,Dia,Hora,Grupo
Alemanha,,,Paraguai,,,29/06,17:30,
França,,,Suécia,,,30/06,18:00,
África do Sul,,,Canadá,,,28/06,16:00,
Holanda,,,Marrocos,,,29/06,22:00,
Portugal,,,Croácia,,,02/07,20:00,
Espanha,,,Áustria,,,02/07,16:00,
Estados Unidos,,,Bósnia,,,01/07,21:00,
Bélgica,,,Senegal,,,01/07,17:00,
Brasil,,,Japão,,,29/06,14:00,
Costa do Marfim,,,Noruega,,,30/06,14:00,
México,,,Equador,,,30/06,22:00,
Inglaterra,,,RD Congo,,,01/07,13:00,
Argentina,,,Cabo Verde,,,03/07,19:00,
Austrália,,,Egito,,,03/07,15:00,
Suíça,,,Argélia,,,03/06,00:00,
Colômbia,,,Gana,,,03/06,22:30,
