Seleção 1,Placar 1,Placar 2,Seleção 2,Vencedor,Saldo de Gols,Dia,Hora,Grupo
África do Sul,1,0,Coreia do Sul,África do Sul,1,24/06,22:00,A
República Tcheca,0,3,México,México,-3,24/06,22:00,A
Suíça,2,1,Canadá,Suíça,1,24/06,16:00,B
Bósnia,3,1,Catar,Bósnia,2,24/06,16:00,B
Marrocos,4,2,Haiti,Marrocos,2,24/06,19:00,C
Escócia,0,3,Brasil,Brasil,-3,24/06,19:00,C
Turquia,3,2,Estados Unidos,Turquia,1,25/06,23:00,D
Paraguai,0,0,Austrália,Empate,0,25/06,23:00,D
Equador,2,1,Alemanha,Equador,1,25/06,17:00,E
Curaçao,0,2,Costa do Marfim,Costa do Marfim,-2,25/06,17:00,E
Tunísia,1,3,Holanda,Holanda,-2,25/06,20:00,F
Japão,1,1,Suécia,Empate,0,25/06,20:00,F
Egito,1,1,Irã,Empate,0,27/06,00:00,G
Nova Zelândia,1,5,Bélgica,Bélgica,-4,27/06,00:00,G
Cabo Verde,0,0,Arábia Saudita,Empate,0,26/06,21:00,H
Uruguai,0,1,Espanha,Espanha,-1,26/06,21:00,H
Senegal,5,0,Iraque,Senegal,5,26/06,16:00,I
Noruega,1,4,França,França,-3,26/06,16:00,I
Jordânia,1,3,Argentina,Argentina,-2,27/06,23:00,J
Argélia,3,3,Áustria,Empate,0,27/06,23:00,J
RD Congo,3,1,Uzbequistão,RD Congo,2,27/06,20:30,K
Colômbia,0,0,Portugal,Empate,0,27/06,20:30,K
Croácia,2,1,Gana,Croácia,1,27/06,18:00,L
Panamá,0,2,Inglaterra,Inglaterra,-2,27/06,18:00,L
